Research ID #,Family,Intimacy,Parenting,Social,Work,Education,Recreation,Spiritual,Community,Self-Care,Living Family,Living Intimacy,Living Parenting,Living Social,Living Work,Living Education,Living Recreation,Living Spiritual,Living Community,Living Self-Care,QoL,Pain Free,No Limitations,Independence,Mentally Alert,Leaving Money,Avoiding Treatment,Relating w. Family,Leaving Memories,Quick Death,Living Long,Natural Course,Spirituality,Medical Research,Type of Surrogate,EoL Discussion,Gender,Age,Race,Which of the following best describes you? - Other (specify) - Text,Ethnicity,Marital Status,Length of Marriage,Education,Income,Response to Scenario,Random Scenario 1,Scenario 1,Random Scenario 2,Scenario 2,Random Scenario 2,Scenario 3
P001,10,10,10,1,7,10,8,10,8,10,10,7,8,7,10,10,7,8,6,10,4,4,4,4,4,4,4,4,4,0,4,4,4,4,Spouse,Yes,Female,55 - 64,Black or African American,,Yes,Married,11 to  15 years,GED or High School Graduate,"$15,000 to 30,000",I am answering on my own behalf,2.4,Surrogate to make this decision on his or her own.,3.5,Kept comfortable and pain free while nature takes its course.,6.8,Surrogate to make decisions on his or her own.
P002,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,8,10,10,4,4,4,4,4,4,4,4,4,4,4,4,4,0,Spouse,Yes,Male,45 - 54,Black or African American,,No,Married,Less than 5 years,Graduated 2-year Associate Degree,"greater than $60,000",I am answering on my own behalf,3.5,Kept comfortable and pain free while nature takes its course.,5.7,Kept comfortable and pain free while nature takes its course.,7.24,Kept comfortable and pain free while nature takes its course.
P003,10,6,10,7,8,10,9,10,8,7,10,10,10,10,10,10,7,7,7,10,4,4,4,4,4,4,4,3,3,2,4,4,4,4,Parent,No,Male,25 - 34,Black or African American,,No,Never Married,,"Some College, Vocational or Technical Training","$45,001 to 60,000",I am answering on my own behalf,2.4,Kept comfortable and pain free while nature takes its course.,5.7,Everything to be done even if there is no chance at full or partial recovery.,8.36,Everything to be done even if there is no chance at full or partial recovery.
P004,10,10,10,8,7,10,10,10,10,10,9,9,9,7,6,9,9,10,9,9,4,4,3,4,4,2,4,4,4,2,3,3,4,1,Spouse,Yes,Female,65 - 74,White,,No,Married,Less than 5 years,Graduated 4-year Bachelor Degree,"$45,001 to 60,000",I am answering on my own behalf,2.4,Kept comfortable and pain free while nature takes its course.,4.31,Kept comfortable and pain free while nature takes its course.,7.24,Everything to be done even if there is no chance at full or partial recovery.
P005,9,9,9,9,9,9,7,9,7,9,9,9,8,5,8,5,5,9,5,4,4,4,4,3,4,4,4,3,3,4,1,4,4,4,Spouse,No,Female,45 - 54,Black or African American,,No,Married,16 to 20 years,Graduated 4-year Bachelor Degree,"$45,001 to 60,000",I am answering on my own behalf,2.4,Surrogate to make this decision on his or her own.,4.31,Kept comfortable and pain free while nature takes its course.,7.24,Kept comfortable and pain free while nature takes its course.
P006,10,7,8,5,6,8,8,10,7,6,7,5,5,5,4,7,7,7,5,6,4,3,3,2,4,2,3,4,3,3,1,3,4,3,Spouse,Yes,Female,65 - 74,White,,No,Married,More than 20 years,Graduated 4-year Bachelor Degree,"$45,001 to 60,000",I am answering on my own behalf,2.4,Kept comfortable and pain free while nature takes its course.,3.5,Kept comfortable and pain free while nature takes its course.,7.24,Kept comfortable and pain free while nature takes its course.
P007,10,10,9,10,9,10,9,10,10,9,10,10,9,8,9,9,9,9,10,8,3,4,4,4,3,3,2,4,4,3,3,4,4,3,Parent,Yes,Female,35 - 44,Black or African American,,No,Never Married,,"Some College, Vocational or Technical Training","less than $15,000",I am answering on my own behalf,2.4,Do not use ventilator (breathing machine) if it does not allow you to breathe without it for full or partial recovery.,3.5,Everything to be done even if there is no chance at full or partial recovery.,7.24,Kept comfortable and pain free while nature takes its course.
P008,10,8,9,9,7,10,8,10,10,9,8,8,7,9,7,10,7,9,9,9,4,4,4,4,3,3,4,4,4,2,4,4,4,4,Parent,No,Female,18 - 24,Black or African American,,No,Never Married,,Graduated 4-year Bachelor Degree,"$15,000 to 30,000",I am answering on my own behalf,3.5,Kept comfortable and pain free while nature takes its course.,6.8,Everything to be done even if there is no chance at full or partial recovery.,8.36,Kept comfortable and pain free while nature takes its course.
P009,10,10,10,9,9,10,9,10,9,10,9,10,10,9,9,10,9,10,9,10,4,4,4,4,4,4,2,4,4,3,4,4,4,2,Spouse,No,Male,65 - 74,Black or African American,,No,Married,More than 20 years,Graduated 4-year Bachelor Degree,"$45,001 to 60,000",I am answering on my own behalf,3.5,Kept comfortable and pain free while nature takes its course.,6.8,Kept comfortable and pain free while nature takes its course.,8.36,Kept comfortable and pain free while nature takes its course.
P010,10,10,10,8,6,8,10,10,8,8,10,9,7,6,7,7,6,8,7,7,4,4,4,4,4,4,2,4,4,4,2,4,4,3,Spouse,No,Female,55 - 64,White,,Yes,Married,More than 20 years,Graduated 4-year Bachelor Degree,Prefer not to answer,I am answering on my own behalf,1.2,Kept comfortable and pain free while nature takes its course.,3.5,Kept comfortable and pain free while nature takes its course.,8.36,Kept comfortable and pain free while nature takes its course.
