Adjudicator,Scenario,SummaryScore,Note Length,
AK,1,7,5588,
AK,2,8,22758,
AK,3,8,8794,
AK,4,10,6330,
AK,5,9,6187,
AK,6,10,7543,
AK,7,10,2914,
AK,8,8,6379,
AK,9,9,6890,
AK,10,4,7789,
AK,11,7,5450,
AK,12,8,9318,
AK,13,6,8554,
AK,14,7,6897,
AK,15,9,3781,
AK,16,8,7059,
AK,17,10,5525,
AK,18,10,12035,
AK,19,8,4982,
AK,20,8,3704,
AK,21,8,8529,
AK,22,10,6332,
AK,23,10,7075,
AK,24,9,4594,
AK,25,9,7732,
AK,26,10,7218,
AK,27,10,2708,
AK,28,10,7669,
AK,29,9,4752,
AK,30,8,5503,
AK,31,8,7130,
AK,32,9,4819,
AK,33,10,8396,
AK,34,10,5046,
AK,35,8,6284,
MSA,1,5,5588,
MSA,2,6,22758,
MSA,3,7,8794,
MSA,4,10,6330,
MSA,5,6,6187,
MSA,6,10,7543,
MSA,7,8,2914,
MSA,8,8,6379,
MSA,9,10,6890,
MSA,10,2,7789,
MSA,11,6,5450,
MSA,12,7,9318,
MSA,13,9,8554,
MSA,14,5,6897,
MSA,15,10,3781,
MSA,16,10,7059,
MSA,17,10,5525,
MSA,18,8,12035,
MSA,19,10,4982,
MSA,20,9,3704,
MSA,21,4,8529,
MSA,22,7,6332,
MSA,23,9,7075,
MSA,24,9,4594,
MSA,25,10,7732,
MSA,26,7,7218,
MSA,27,9,2708,
MSA,28,6,7669,
MSA,29,10,4752,
MSA,30,1,5503,
MSA,31,3,7130,
MSA,32,6,4819,
MSA,33,9,8396,
MSA,34,9,5046,
MSA,35,5,6284,
PD,1,4,5588,
PD,2,5,22758,
PD,3,8,8794,
PD,4,9,6330,
PD,5,6,6187,
PD,6,9,7543,
PD,7,5,2914,
PD,8,7,6379,
PD,9,10,6890,
PD,10,2,7789,
PD,11,2,5450,
PD,12,NA,9318,
PD,13,7,8554,
PD,14,7,6897,
PD,15,8,3781,
PD,16,10,7059,
PD,17,10,5525,
PD,18,8,12035,
PD,19,10,4982,
PD,20,10,3704,
PD,21,7,8529,
PD,22,6,6332,
PD,23,9,7075,
PD,24,7,4594,
PD,25,9,7732,
PD,26,7,7218,
PD,27,9,2708,
PD,28,7,7669,
PD,29,8,4752,
PD,30,2,5503,
PD,31,4,7130,
PD,32,7,4819,
PD,33,10,8396,
PD,34,9,5046,
PD,35,3,6284,
