Dyad,Temperature,Trial,AI Subject Without Values,AI Subject With Values,AI Proxy Without Values,AI Proxy With Values,Human Proxy
1,0.2,1,1,1,1,1,2
1,0.2,2,1,1,1,1,2
1,0.2,3,1,1,1,1,2
1,0.2,4,1,1,1,1,2
1,0.2,5,1,1,1,1,2
1,0.2,6,1,1,1,1,2
1,0.2,7,1,1,1,1,2
1,0.2,8,2,1,1,1,2
1,0.2,9,1,1,1,1,2
1,0.2,10,1,1,1,1,2
1,0.4,1,1,1,1,1,2
1,0.4,2,0,1,1,1,2
1,0.4,3,1,1,1,1,2
1,0.4,4,1,1,1,1,2
1,0.4,5,1,1,1,1,2
1,0.4,6,1,1,1,1,2
1,0.4,7,1,1,1,1,2
1,0.4,8,1,1,1,1,2
1,0.4,9,1,1,1,1,2
1,0.4,10,1,1,0,1,2
1,0.6,1,1,1,0,1,2
1,0.6,2,1,1,1,1,2
1,0.6,3,1,1,1,1,2
1,0.6,4,1,1,1,1,2
1,0.6,5,1,1,1,0,2
1,0.6,6,1,1,1,1,2
1,0.6,7,1,0,1,1,2
1,0.6,8,1,1,1,1,2
1,0.6,9,1,1,1,1,2
1,0.6,10,1,1,1,1,2
1,0.8,1,1,1,1,1,2
1,0.8,2,0,1,1,1,2
1,0.8,3,1,0,1,0,2
1,0.8,4,1,1,1,1,2
1,0.8,5,1,1,1,1,2
1,0.8,6,1,1,1,1,2
1,0.8,7,1,1,1,1,2
1,0.8,8,1,0,1,1,2
1,0.8,9,1,1,1,1,2
1,0.8,10,1,1,1,1,2
1,1,1,1,1,1,1,2
1,1,2,1,1,1,1,2
1,1,3,1,1,1,1,2
1,1,4,1,1,1,1,2
1,1,5,1,0,1,1,2
1,1,6,1,1,1,1,2
1,1,7,0,1,1,1,2
1,1,8,1,1,1,1,2
1,1,9,1,1,1,1,2
1,1,10,1,1,2,1,2
1,1.2,1,1,1,1,1,2
1,1.2,2,0,1,1,1,2
1,1.2,3,1,1,1,1,2
1,1.2,4,1,1,1,1,2
1,1.2,5,1,1,1,1,2
1,1.2,6,0,1,1,1,2
1,1.2,7,1,1,1,1,2
1,1.2,8,1,1,1,1,2
1,1.2,9,0,1,1,1,2
1,1.2,10,1,1,1,0,2
1,1.4,1,1,1,1,1,2
1,1.4,2,1,1,1,1,2
1,1.4,3,1,1,1,1,2
1,1.4,4,1,0,1,0,2
1,1.4,5,1,1,1,1,2
1,1.4,6,1,1,1,1,2
1,1.4,7,1,1,1,1,2
1,1.4,8,1,1,1,1,2
1,1.4,9,1,1,1,1,2
1,1.4,10,1,0,1,1,2
1,1.6,1,1,1,1,1,2
1,1.6,2,1,1,1,1,2
1,1.6,3,1,1,1,1,2
1,1.6,4,0,1,1,1,2
1,1.6,5,0,1,1,1,2
1,1.6,6,1,1,1,0,2
1,1.6,7,1,1,1,1,2
1,1.6,8,1,1,1,1,2
1,1.6,9,0,1,1,1,2
1,1.6,10,1,1,1,0,2
1,1.8,1,1,1,1,1,2
1,1.8,2,1,0,1,1,2
1,1.8,3,1,1,1,1,2
1,1.8,4,1,1,1,1,2
1,1.8,5,1,1,1,1,2
1,1.8,6,1,1,1,1,2
1,1.8,7,1,1,1,0,2
1,1.8,8,1,1,1,1,2
1,1.8,9,1,1,1,1,2
1,1.8,10,1,1,1,1,2
1,2,1,1,1,1,1,2
1,2,2,0,1,1,1,2
1,2,3,1,1,1,1,2
1,2,4,0,1,1,1,2
1,2,5,1,1,1,1,2
1,2,6,1,1,1,1,2
1,2,7,1,1,1,1,2
1,2,8,1,1,1,1,2
1,2,9,1,1,1,1,2
1,2,10,1,1,1,1,2
2,0.2,1,1,3,3,3,1
2,0.2,2,3,3,2,3,1
2,0.2,3,2,3,2,3,1
2,0.2,4,2,3,3,3,1
2,0.2,5,3,3,2,3,1
2,0.2,6,3,3,3,3,1
2,0.2,7,3,3,3,3,1
2,0.2,8,2,3,2,3,1
2,0.2,9,2,3,3,3,1
2,0.2,10,2,3,3,3,1
2,0.4,1,3,3,3,3,1
2,0.4,2,2,3,3,3,1
2,0.4,3,2,3,2,3,1
2,0.4,4,3,3,3,3,1
2,0.4,5,3,3,2,3,1
2,0.4,6,3,3,3,3,1
2,0.4,7,2,2,3,3,1
2,0.4,8,2,3,3,3,1
2,0.4,9,2,3,2,3,1
2,0.4,10,2,3,2,3,1
2,0.6,1,2,3,2,3,1
2,0.6,2,2,2,3,3,1
2,0.6,3,3,2,2,3,1
2,0.6,4,2,3,2,3,1
2,0.6,5,2,3,2,3,1
2,0.6,6,1,3,2,3,1
2,0.6,7,3,3,3,3,1
2,0.6,8,3,3,3,3,1
2,0.6,9,2,3,2,3,1
2,0.6,10,2,3,3,3,1
2,0.8,1,2,2,3,2,1
2,0.8,2,2,3,2,3,1
2,0.8,3,2,3,2,3,1
2,0.8,4,2,3,2,3,1
2,0.8,5,1,3,2,3,1
2,0.8,6,1,3,2,3,1
2,0.8,7,2,3,3,3,1
2,0.8,8,2,3,3,3,1
2,0.8,9,2,2,2,3,1
2,0.8,10,2,3,3,3,1
2,1,1,2,2,3,3,1
2,1,2,2,3,3,3,1
2,1,3,2,3,2,3,1
2,1,4,1,2,3,2,1
2,1,5,2,1,3,3,1
2,1,6,2,2,3,3,1
2,1,7,2,3,2,2,1
2,1,8,2,3,2,3,1
2,1,9,2,3,2,3,1
2,1,10,1,3,3,3,1
2,1.2,1,2,3,3,3,1
2,1.2,2,3,3,3,3,1
2,1.2,3,1,3,2,3,1
2,1.2,4,2,3,3,3,1
2,1.2,5,2,3,2,3,1
2,1.2,6,1,3,2,3,1
2,1.2,7,1,3,2,3,1
2,1.2,8,1,3,3,3,1
2,1.2,9,1,3,3,3,1
2,1.2,10,2,3,3,3,1
2,1.4,1,3,2,2,3,1
2,1.4,2,2,1,3,2,1
2,1.4,3,2,3,2,3,1
2,1.4,4,2,1,2,3,1
2,1.4,5,2,0,3,2,1
2,1.4,6,1,3,3,3,1
2,1.4,7,1,2,3,3,1
2,1.4,8,3,3,3,3,1
2,1.4,9,3,3,3,3,1
2,1.4,10,2,2,1,3,1
2,1.6,1,1,3,2,3,1
2,1.6,2,2,3,2,2,1
2,1.6,3,3,1,2,3,1
2,1.6,4,1,3,2,3,1
2,1.6,5,2,2,2,3,1
2,1.6,6,2,2,2,3,1
2,1.6,7,1,3,2,3,1
2,1.6,8,2,3,3,3,1
2,1.6,9,2,3,2,3,1
2,1.6,10,1,3,2,2,1
2,1.8,1,2,3,1,3,1
2,1.8,2,1,3,3,3,1
2,1.8,3,1,3,2,3,1
2,1.8,4,2,3,2,3,1
2,1.8,5,2,2,3,3,1
2,1.8,6,1,3,2,3,1
2,1.8,7,1,3,2,3,1
2,1.8,8,2,3,2,3,1
2,1.8,9,0,3,2,3,1
2,1.8,10,0,3,3,3,1
2,2,1,3,2,3,3,1
2,2,2,1,3,2,3,1
2,2,3,2,1,3,3,1
2,2,4,3,2,2,3,1
2,2,5,2,2,2,3,1
2,2,6,2,3,2,3,1
2,2,7,2,2,3,2,1
2,2,8,1,3,2,2,1
2,2,9,1,2,2,3,1
2,2,10,2,2,3,3,1
3,0.2,1,1,1,1,1,2
3,0.2,2,1,1,1,1,2
3,0.2,3,1,1,1,1,2
3,0.2,4,1,1,1,1,2
3,0.2,5,1,1,1,1,2
3,0.2,6,1,1,1,1,2
3,0.2,7,1,1,1,2,2
3,0.2,8,0,1,1,1,2
3,0.2,9,1,1,1,1,2
3,0.2,10,1,1,1,1,2
3,0.4,1,1,1,1,1,2
3,0.4,2,1,1,1,1,2
3,0.4,3,0,1,1,1,2
3,0.4,4,1,1,1,1,2
3,0.4,5,1,1,1,1,2
3,0.4,6,1,1,1,1,2
3,0.4,7,1,1,1,1,2
3,0.4,8,1,1,1,1,2
3,0.4,9,1,1,1,1,2
3,0.4,10,1,1,1,1,2
3,0.6,1,1,1,1,1,2
3,0.6,2,1,1,1,1,2
3,0.6,3,1,1,1,1,2
3,0.6,4,1,1,1,1,2
3,0.6,5,1,1,1,1,2
3,0.6,6,1,1,1,1,2
3,0.6,7,1,1,1,1,2
3,0.6,8,2,1,1,1,2
3,0.6,9,1,1,1,1,2
3,0.6,10,1,1,1,1,2
3,0.8,1,1,1,1,0,2
3,0.8,2,1,0,1,1,2
3,0.8,3,1,1,1,1,2
3,0.8,4,1,2,1,1,2
3,0.8,5,1,1,1,1,2
3,0.8,6,1,1,1,0,2
3,0.8,7,1,1,1,0,2
3,0.8,8,0,1,1,1,2
3,0.8,9,0,1,1,1,2
3,0.8,10,1,1,1,1,2
3,1,1,0,1,1,1,2
3,1,2,1,0,1,0,2
3,1,3,1,1,1,2,2
3,1,4,1,1,1,1,2
3,1,5,1,1,1,1,2
3,1,6,1,1,1,1,2
3,1,7,1,2,1,1,2
3,1,8,1,1,1,1,2
3,1,9,1,1,1,1,2
3,1,10,1,2,1,0,2
3,1.2,1,1,1,1,0,2
3,1.2,2,1,1,1,1,2
3,1.2,3,1,3,1,2,2
3,1.2,4,1,0,1,0,2
3,1.2,5,1,1,1,1,2
3,1.2,6,1,2,1,1,2
3,1.2,7,1,1,1,1,2
3,1.2,8,1,1,1,1,2
3,1.2,9,0,0,1,1,2
3,1.2,10,1,1,1,1,2
3,1.4,1,1,0,1,1,2
3,1.4,2,1,1,1,1,2
3,1.4,3,1,1,1,1,2
3,1.4,4,1,1,1,2,2
3,1.4,5,1,1,1,0,2
3,1.4,6,1,0,2,2,2
3,1.4,7,1,0,1,2,2
3,1.4,8,1,1,1,1,2
3,1.4,9,1,1,1,0,2
3,1.4,10,1,1,1,3,2
3,1.6,1,0,0,1,2,2
3,1.6,2,1,0,1,1,2
3,1.6,3,1,1,1,1,2
3,1.6,4,0,1,1,1,2
3,1.6,5,0,2,1,1,2
3,1.6,6,1,1,1,0,2
3,1.6,7,1,2,1,1,2
3,1.6,8,1,1,1,1,2
3,1.6,9,1,0,1,0,2
3,1.6,10,1,2,1,1,2
3,1.8,1,1,1,1,0,2
3,1.8,2,1,1,2,1,2
3,1.8,3,0,2,1,1,2
3,1.8,4,1,0,1,2,2
3,1.8,5,1,1,1,0,2
3,1.8,6,1,1,1,0,2
3,1.8,7,1,1,1,2,2
3,1.8,8,1,1,1,0,2
3,1.8,9,1,1,1,1,2
3,1.8,10,1,1,1,0,2
3,2,1,1,1,1,0,2
3,2,2,1,1,1,1,2
3,2,3,1,0,1,1,2
3,2,4,1,2,1,2,2
3,2,5,2,1,1,0,2
3,2,6,1,2,1,0,2
3,2,7,1,1,1,0,2
3,2,8,1,1,1,0,2
3,2,9,0,2,1,1,2
3,2,10,1,1,1,1,2
4,0.2,1,1,2,1,2,2
4,0.2,2,0,2,0,2,2
4,0.2,3,0,2,1,2,2
4,0.2,4,0,2,0,2,2
4,0.2,5,0,2,0,2,2
4,0.2,6,1,2,0,2,2
4,0.2,7,0,2,0,2,2
4,0.2,8,0,2,1,2,2
4,0.2,9,0,2,1,2,2
4,0.2,10,0,2,0,2,2
4,0.4,1,1,2,0,2,2
4,0.4,2,1,2,1,2,2
4,0.4,3,1,2,1,2,2
4,0.4,4,0,2,0,2,2
4,0.4,5,1,2,0,2,2
4,0.4,6,0,2,0,2,2
4,0.4,7,0,2,0,2,2
4,0.4,8,0,2,1,2,2
4,0.4,9,0,2,0,2,2
4,0.4,10,0,2,0,2,2
4,0.6,1,0,2,0,2,2
4,0.6,2,0,2,1,2,2
4,0.6,3,0,2,1,2,2
4,0.6,4,2,1,0,2,2
4,0.6,5,0,2,1,2,2
4,0.6,6,0,2,1,2,2
4,0.6,7,0,2,0,2,2
4,0.6,8,1,2,0,2,2
4,0.6,9,0,2,0,2,2
4,0.6,10,1,2,0,2,2
4,0.8,1,0,2,0,2,2
4,0.8,2,0,2,1,1,2
4,0.8,3,0,2,0,2,2
4,0.8,4,0,2,0,2,2
4,0.8,5,0,1,1,2,2
4,0.8,6,1,2,1,2,2
4,0.8,7,0,2,0,2,2
4,0.8,8,0,2,1,2,2
4,0.8,9,0,1,1,2,2
4,0.8,10,0,1,0,2,2
4,1,1,1,2,0,2,2
4,1,2,1,2,1,2,2
4,1,3,0,2,0,2,2
4,1,4,0,2,0,2,2
4,1,5,1,2,0,2,2
4,1,6,1,2,1,2,2
4,1,7,0,2,1,2,2
4,1,8,0,2,1,2,2
4,1,9,0,2,1,2,2
4,1,10,0,2,1,2,2
4,1.2,1,1,2,0,2,2
4,1.2,2,1,2,1,1,2
4,1.2,3,1,2,1,1,2
4,1.2,4,0,2,1,2,2
4,1.2,5,1,2,1,2,2
4,1.2,6,0,2,1,2,2
4,1.2,7,0,2,1,2,2
4,1.2,8,1,2,0,2,2
4,1.2,9,1,2,0,1,2
4,1.2,10,0,2,0,2,2
4,1.4,1,0,0,1,3,2
4,1.4,2,0,2,1,2,2
4,1.4,3,0,2,1,2,2
4,1.4,4,0,1,1,2,2
4,1.4,5,0,2,0,1,2
4,1.4,6,0,2,0,2,2
4,1.4,7,0,2,0,1,2
4,1.4,8,0,2,0,1,2
4,1.4,9,0,1,0,2,2
4,1.4,10,0,2,0,1,2
4,1.6,1,0,1,1,2,2
4,1.6,2,0,3,0,2,2
4,1.6,3,0,2,0,2,2
4,1.6,4,0,2,0,1,2
4,1.6,5,0,1,0,2,2
4,1.6,6,0,2,0,2,2
4,1.6,7,1,1,0,2,2
4,1.6,8,0,1,0,1,2
4,1.6,9,1,2,0,2,2
4,1.6,10,0,2,0,2,2
4,1.8,1,0,2,0,2,2
4,1.8,2,0,2,1,2,2
4,1.8,3,0,1,0,2,2
4,1.8,4,0,2,1,2,2
4,1.8,5,1,2,2,1,2
4,1.8,6,1,2,0,2,2
4,1.8,7,1,2,0,2,2
4,1.8,8,0,0,0,2,2
4,1.8,9,0,1,0,2,2
