Type,Scenario,Adjudicator,Adjudicator_Type,ReadingLevel,A1 Score,A2 Score,Extracted Value Score
Simulated,1,KA,Expert,5th Grade,5,5,NA
Simulated,1,KA,Expert,8th/9th Grade,5,5,NA
Simulated,1,KA,Expert,College Level,2,1,NA
Simulated,2,KA,Expert,5th Grade,2,1,NA
Simulated,2,KA,Expert,8th/9th Grade,4,1,NA
Simulated,2,KA,Expert,College Level,2,1,NA
Simulated,3,KA,Expert,5th Grade,1,5,NA
Simulated,3,KA,Expert,8th/9th Grade,1,5,NA
Simulated,3,KA,Expert,College Level,1,5,NA
Simulated,4,KA,Expert,5th Grade,4,1,NA
Simulated,4,KA,Expert,8th/9th Grade,4,1,NA
Simulated,4,KA,Expert,College Level,4,1,NA
Simulated,5,KA,Expert,5th Grade,1,1,NA
Simulated,5,KA,Expert,8th/9th Grade,5,5,NA
Simulated,5,KA,Expert,College Level,1,1,NA
Simulated,6,KA,Expert,5th Grade,5,5,NA
Simulated,6,KA,Expert,8th/9th Grade,5,5,NA
Simulated,6,KA,Expert,College Level,5,5,NA
Simulated,7,KA,Expert,5th Grade,5,5,NA
Simulated,7,KA,Expert,8th/9th Grade,5,5,NA
Simulated,7,KA,Expert,College Level,5,5,NA
Simulated,8,KA,Expert,5th Grade,5,5,NA
Simulated,8,KA,Expert,8th/9th Grade,5,5,NA
Simulated,8,KA,Expert,College Level,5,5,NA
Simulated,9,KA,Expert,5th Grade,5,4,NA
Simulated,9,KA,Expert,8th/9th Grade,5,4,NA
Simulated,9,KA,Expert,College Level,5,4,NA
Simulated,10,KA,Expert,5th Grade,5,5,NA
Simulated,10,KA,Expert,8th/9th Grade,5,5,NA
Simulated,10,KA,Expert,College Level,5,5,NA
Simulated,11,KA,Expert,5th Grade,5,5,NA
Simulated,11,KA,Expert,8th/9th Grade,5,5,NA
Simulated,11,KA,Expert,College Level,5,5,NA
Simulated,12,KA,Expert,5th Grade,5,5,NA
Simulated,12,KA,Expert,8th/9th Grade,5,5,NA
Simulated,12,KA,Expert,College Level,5,5,NA
Simulated,13,KA,Expert,5th Grade,5,5,NA
Simulated,13,KA,Expert,8th/9th Grade,5,5,NA
Simulated,13,KA,Expert,College Level,5,5,NA
Simulated,14,KA,Expert,5th Grade,5,5,NA
Simulated,14,KA,Expert,8th/9th Grade,5,5,NA
Simulated,14,KA,Expert,College Level,5,5,NA
Simulated,15,KA,Expert,5th Grade,5,5,NA
Simulated,15,KA,Expert,8th/9th Grade,5,5,NA
Simulated,15,KA,Expert,College Level,5,5,NA
Simulated,16,KA,Expert,5th Grade,5,5,NA
Simulated,16,KA,Expert,8th/9th Grade,5,5,NA
Simulated,16,KA,Expert,College Level,5,5,NA
Simulated,17,KA,Expert,5th Grade,5,5,NA
Simulated,17,KA,Expert,8th/9th Grade,5,5,NA
Simulated,17,KA,Expert,College Level,5,5,NA
Simulated,18,KA,Expert,5th Grade,5,4,NA
Simulated,18,KA,Expert,8th/9th Grade,5,4,NA
Simulated,18,KA,Expert,College Level,5,4,NA
Simulated,19,KA,Expert,5th Grade,5,5,NA
Simulated,19,KA,Expert,8th/9th Grade,5,5,NA
Simulated,19,KA,Expert,College Level,5,5,NA
Simulated,20,KA,Expert,5th Grade,5,5,NA
Simulated,20,KA,Expert,8th/9th Grade,5,5,NA
Simulated,20,KA,Expert,College Level,5,5,NA
Simulated,21,KA,Expert,5th Grade,5,5,NA
Simulated,21,KA,Expert,8th/9th Grade,5,5,NA
Simulated,21,KA,Expert,College Level,5,5,NA
Simulated,22,KA,Expert,5th Grade,5,5,NA
Simulated,22,KA,Expert,8th/9th Grade,5,5,NA
Simulated,22,KA,Expert,College Level,5,5,NA
Simulated,23,KA,Expert,5th Grade,5,5,NA
Simulated,23,KA,Expert,8th/9th Grade,5,5,NA
Simulated,23,KA,Expert,College Level,5,1,NA
Simulated,24,KA,Expert,5th Grade,5,5,NA
Simulated,24,KA,Expert,8th/9th Grade,5,5,NA
Simulated,24,KA,Expert,College Level,5,5,NA
Simulated,25,KA,Expert,5th Grade,1,5,NA
Simulated,25,KA,Expert,8th/9th Grade,1,5,NA
Simulated,25,KA,Expert,College Level,5,1,NA
Simulated,26,KA,Expert,5th Grade,5,5,NA
Simulated,26,KA,Expert,8th/9th Grade,5,5,NA
Simulated,26,KA,Expert,College Level,5,5,NA
Simulated,27,KA,Expert,5th Grade,4,1,NA
Simulated,27,KA,Expert,8th/9th Grade,4,1,NA
