Question #,Abbreviations,Questions
Q2,Enter your Research ID #,Enter your Research ID #
Q3_1,Family,"On a scale from 1 to 10, where 1 is low and 10 is high, choose the best answer that describes you generally. - How important do you consider family to be?"
Q3_2,Intimacy,"On a scale from 1 to 10, where 1 is low and 10 is high, choose the best answer that describes you generally. - How important do you consider intimacy to be?"
Q3_3,Parenting,"On a scale from 1 to 10, where 1 is low and 10 is high, choose the best answer that describes you generally. - How important do you consider parenting?"
Q3_4,Social,"On a scale from 1 to 10, where 1 is low and 10 is high, choose the best answer that describes you generally. - How important do you consider being social to be?"
Q3_5,Work,"On a scale from 1 to 10, where 1 is low and 10 is high, choose the best answer that describes you generally. - How important do you consider work to be?"
Q3_6,Education,"On a scale from 1 to 10, where 1 is low and 10 is high, choose the best answer that describes you generally. - How important do you consider education to be?"
Q3_7,Recreation,"On a scale from 1 to 10, where 1 is low and 10 is high, choose the best answer that describes you generally. - How important do you consider recreation to be?"
Q3_8,Spiritual,"On a scale from 1 to 10, where 1 is low and 10 is high, choose the best answer that describes you generally. - How important do you consider spirituality to be?"
Q3_9,Community,"On a scale from 1 to 10, where 1 is low and 10 is high, choose the best answer that describes you generally. - How important do you consider community to be?"
Q3_10,Self-Care,"On a scale from 1 to 10, where 1 is low and 10 is high, choose the best answer that describes you generally. - How important do you consider self-care to be?"
Q3_11,Living Family,"On a scale from 1 to 10, where 1 is low and 10 is high, choose the best answer that describes you generally. - How well do you think you are living the value of family?"
Q3_12,Living Intimacy,"On a scale from 1 to 10, where 1 is low and 10 is high, choose the best answer that describes you generally. - How well do you think you are living the value of intimacy?"
Q3_13,Living Parenting,"On a scale from 1 to 10, where 1 is low and 10 is high, choose the best answer that describes you generally. - How well do you think you are living the value of parenting?"
Q3_14,Living Social,"On a scale from 1 to 10, where 1 is low and 10 is high, choose the best answer that describes you generally. - How well do you think you are living the value of social?"
Q3_15,Living Work,"On a scale from 1 to 10, where 1 is low and 10 is high, choose the best answer that describes you generally. - How well do you think you are living the value of work?"
Q3_16,Living Education,"On a scale from 1 to 10, where 1 is low and 10 is high, choose the best answer that describes you generally. - How well do you think you are living the value of education?"
Q3_17,Living Recreation,"On a scale from 1 to 10, where 1 is low and 10 is high, choose the best answer that describes you generally. - How well do you think you are living the value of recreation?"
Q3_18,Living Spiritual,"On a scale from 1 to 10, where 1 is low and 10 is high, choose the best answer that describes you generally. - How well do you think you are living the value of spirituality?"
Q3_19,Living Community,"On a scale from 1 to 10, where 1 is low and 10 is high, choose the best answer that describes you generally. - How well do you think you are living the value of community?"
Q3_20,Living Self-Care,"On a scale from 1 to 10, where 1 is low and 10 is high, choose the best answer that describes you generally. - How well do you think you are living the value of self-care?"
Q4_1,QoL,"On a scale from 0 to 4, where 0 is low and 4 is high, please choose the best answer that describes how you feel today. - How would you rank the importance of preserving the quality of life?"
Q4_2,Pain Free,"On a scale from 0 to 4, where 0 is low and 4 is high, please choose the best answer that describes how you feel today. - How would you rank the importance of being pain free?"
Q4_3,No Limitations,"On a scale from 0 to 4, where 0 is low and 4 is high, please choose the best answer that describes how you feel today. - How would you rank the importance of having no physical limitations?"
Q4_4,Independence,"On a scale from 0 to 4, where 0 is low and 4 is high, please choose the best answer that describes how you feel today. - How would you rank the importance of being independent?"
Q4_5,Mentally Alert,"On a scale from 0 to 4, where 0 is low and 4 is high, please choose the best answer that describes how you feel today. - How would you rank the importance of being mentally alert?"
Q4_6,Leaving Money,"On a scale from 0 to 4, where 0 is low and 4 is high, please choose the best answer that describes how you feel today. - How would you rank the importance of leaving money for family & friends?"
Q4_7,Avoiding Treatment,"On a scale from 0 to 4, where 0 is low and 4 is high, please choose the best answer that describes how you feel today. - How would you rank the importance of avoiding expensive treatment?"
Q4_8,Relating w. Family,"On a scale from 0 to 4, where 0 is low and 4 is high, please choose the best answer that describes how you feel today. - How would you rank the importance of relating to family & friends?"
Q4_9,Leaving Memories,"On a scale from 0 to 4, where 0 is low and 4 is high, please choose the best answer that describes how you feel today. - How would you rank the importance of leaving memories?"
Q4_10,Quick Death,"On a scale from 0 to 4, where 0 is low and 4 is high, please choose the best answer that describes how you feel today. - How would you rank the importance of having a quick death?"
Q4_11,Living Long,"On a scale from 0 to 4, where 0 is low and 4 is high, please choose the best answer that describes how you feel today. - How would you rank the importance of living as long as possible?"
Q4_12,Natural Course,"On a scale from 0 to 4, where 0 is low and 4 is high, please choose the best answer that describes how you feel today. - How would you rank the importance of letting nature take its course?"
Q4_13,Spirituality,"On a scale from 0 to 4, where 0 is low and 4 is high, please choose the best answer that describes how you feel today. - How would you rank the importance of spirituality?"
Q4_14,Medical Research,"On a scale from 0 to 4, where 0 is low and 4 is high, please choose the best answer that describes how you feel today. - How would you rank the importance of helping medical research?"
Q5,Type of Surrogate,Which of the following describes your health care surrogate?
Q6,EoL Discussion,Have you had a discussion with your surrogate about what you would want near the end-of-life in the past six months?
Q7,Gender,What gender do you identify with?
Q8,Age,What is your age range?
Q9,Race,Which of the following best describes you? - Selected Choice
Q9_6_TEXT,Which of the following best describes you? - Other (specify) - Text,Which of the following best describes you? - Other (specify) - Text
Q10,Ethnicity,"Are you Spanish, Hispanic or Latino?"
Q11,Marital Status,What is your current marital status?
Q12,Length of Marriage,"If you are married, how long have you been married?"
Q13,Education,What is the highest level of education that you have completed?
Q14,Income,What is your average household income level?
Q19,Response to Scenario,Please indicate on whose behalf will you answer the following questions:
Q21,Scenario 1,"For Scenario 1:

Which of the following options would you prefer? [If you are acting as a surrogate, what would your relative/friend prefer?] Choose only one."
Q25,Scenario 2,"For Scenario 2:

Which of the following options would you prefer? [If you are acting as a surrogate, what would your relative/friend prefer?] Choose only one."
Q26,Scenario 3,"For Scenario 3:

Which of the following options would you prefer? [If you are acting as a surrogate, what would your relative/friend prefer?] Choose only one."
,,
Scenarios Used,,
2,,
4,,
5,,
7,,
8,,
24,,
31,,
36,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
